HGNC ID	Approved symbol	Approved name	Ensembl gene ID	UniProt accession
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	ENSG00000161204	Q9NUQ8
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	ENSG00000160179	P45844
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	ENSG00000118777	Q9UNQ0
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	ENSG00000172350	Q9H172
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	ENSG00000138075	Q9H222
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	ENSG00000143921	Q9H221
HGNC:17553	ABHD1	abhydrolase domain containing 1	ENSG00000143994	Q96SE0
HGNC:18717	ABHD2	abhydrolase domain containing 2	ENSG00000140526	P08910
HGNC:18718	ABHD3	abhydrolase domain containing 3	ENSG00000158201	Q8WU67
HGNC:20154	ABHD4	abhydrolase domain containing 4	ENSG00000100439	Q8TB40
HGNC:21396	ABHD5	abhydrolase domain containing 5	ENSG00000011198	Q8WTS1
HGNC:21398	ABHD6	abhydrolase domain containing 6	ENSG00000163686	Q9BV23
HGNC:23759	ABHD8	abhydrolase domain containing 8	ENSG00000127220	Q96I13
HGNC:25656	ABHD10	abhydrolase domain containing 10	ENSG00000144827	Q9NUJ1
HGNC:16407	ABHD11	abhydrolase domain containing 11	ENSG00000106077	Q8NFV4
HGNC:15868	ABHD12	abhydrolase domain containing 12	ENSG00000100997	Q8N2K0
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	ENSG00000131969	Q7Z5M8
HGNC:20293	ABHD13	abhydrolase domain containing 13	ENSG00000139826	Q7L211
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	ENSG00000248487	Q9BUJ0
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	ENSG00000114786	
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	ENSG00000114779	Q96IU4
HGNC:26971	ABHD15	abhydrolase domain containing 15	ENSG00000168792	Q6UXT9
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	ENSG00000204427	O95870
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	ENSG00000183260	Q9H3Z7
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	ENSG00000129968	Q96GS6
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	ENSG00000107362	Q5VST6
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	ENSG00000136379	Q6PCB6
HGNC:26111	ABHD18	abhydrolase domain containing 18	ENSG00000164074	Q0P651
HGNC:11320	ABI1	abl interactor 1	ENSG00000136754	Q8IZP0
HGNC:24011	ABI2	abl interactor 2	ENSG00000138443	Q9NYB9
HGNC:29859	ABI3	ABI family member 3	ENSG00000108798	Q9P2A4
HGNC:17265	ABI3BP	ABI family member 3 binding protein	ENSG00000154175	Q7Z7G0
HGNC:1364	ABITRAM	actin binding transcription modulator	ENSG00000119328	Q9NX38
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ENSG00000097007	P00519
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ENSG00000143322	P42684
HGNC:78	ABLIM1	actin binding LIM protein 1	ENSG00000099204	O14639
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	ENSG00000163995	Q6H8Q1
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	ENSG00000173210	O94929
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	ENSG00000159842	Q12979
HGNC:30655	ABRA	actin binding Rho activating protein	ENSG00000174429	Q8N0Z2
HGNC:21230	ABRACL	ABRA C-terminal like	ENSG00000146386	Q9P1F3
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	ENSG00000163322	Q6UWZ7
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	ENSG00000165660	Q15018
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	ENSG00000114626	Q969K4
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	ENSG00000166016	Q8N961
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	ENSG00000060971	P09110
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	ENSG00000167315	P42765
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	ENSG00000278540	Q13085
HGNC:85	ACACB	acetyl-CoA carboxylase beta	ENSG00000076555	O00763
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	ENSG00000151498	Q9UKU7
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	ENSG00000177646	Q9H845
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	ENSG00000111271	Q6JQN1
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	ENSG00000240303	Q709F0
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	ENSG00000115361	P28330
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	ENSG00000117054	P11310
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	ENSG00000122971	P16219
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	ENSG00000196177	P45954
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	ENSG00000072778	P49748
HGNC:319	ACAN	aggrecan	ENSG00000157766	P16112
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ENSG00000114331	Q15057
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ENSG00000131584	Q96P50
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	ENSG00000075239	P24752
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	ENSG00000120437	Q9BWD1
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	ENSG00000182827	Q9H3P7
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	ENSG00000181513	Q8NC06
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	ENSG00000107897	Q5T8D3
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	ENSG00000230124	Q9BR61
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	ENSG00000176244	Q8N6N7
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ENSG00000110455	Q96QU6
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	ENSG00000205126	Q4AC99
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	ENSG00000102977	Q96AP0
HGNC:2707	ACE	angiotensin I converting enzyme	ENSG00000159640	P12821
HGNC:13557	ACE2	angiotensin I converting enzyme 2	ENSG00000130234	Q9BYF1
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	ENSG00000100813	Q9UKV3
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	ENSG00000213088	Q16570
HGNC:1565	ACKR2	atypical chemokine receptor 2	ENSG00000144648	O00590
HGNC:23692	ACKR3	atypical chemokine receptor 3	ENSG00000144476	P25106
HGNC:115	ACLY	ATP citrate lyase	ENSG00000131473	P53396
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	ENSG00000153086	Q8TDX5
HGNC:117	ACO1	aconitase 1	ENSG00000122729	P21399
HGNC:118	ACO2	aconitase 2	ENSG00000100412	Q99798
HGNC:33904	ACOD1	aconitate decarboxylase 1	ENSG00000102794	A6NK06
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	ENSG00000184227	Q86TX2
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	ENSG00000119673	P49753
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	ENSG00000177465	Q8N9L9
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	ENSG00000205669	Q3I5F7
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	ENSG00000097021	O00154
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	ENSG00000101473	O14734
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	ENSG00000123130	Q9Y305
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	ENSG00000162390	Q8WXI4
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	ENSG00000172497	Q8WYK0
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	ENSG00000112304	Q9NPJ3
HGNC:119	ACOX1	acyl-CoA oxidase 1	ENSG00000161533	Q15067
HGNC:120	ACOX2	acyl-CoA oxidase 2	ENSG00000168306	Q99424
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	ENSG00000087008	O15254
HGNC:25621	ACOXL	acyl-CoA oxidase like	ENSG00000153093	Q9NUZ1
HGNC:122	ACP1	acid phosphatase 1	ENSG00000143727	P24666
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	ENSG00000102575	P13686
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	ENSG00000162836	Q9NPH0
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	ENSG00000183760	Q6ZNF0
HGNC:125	ACPP	acid phosphatase, prostate	ENSG00000014257	P15309
HGNC:126	ACR	acrosin	ENSG00000100312	P10323
HGNC:17195	ACRBP	acrosin binding protein	ENSG00000111644	Q8NEB7
HGNC:127	ACRV1	acrosomal vesicle protein 1	ENSG00000134940	P26436
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	ENSG00000103740	Q96GR2
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	ENSG00000130377	Q5FVE4
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	ENSG00000167107	Q96CM8
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	ENSG00000151726	P33121
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	ENSG00000123983	O95573
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	ENSG00000068366	O60488
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	ENSG00000197142	Q9ULC5
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	ENSG00000164398	Q9UKU0
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	ENSG00000166743	Q08AH1
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	ENSG00000183747	Q08AH3
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	ENSG00000066813	Q68CK6
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	ENSG00000005187	Q53FZ2
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	ENSG00000215009	P0C7M7
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	ENSG00000183549	Q6NUN0
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	ENSG00000173124	Q6P461
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	ENSG00000154930	Q9NUB1
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	ENSG00000131069	Q9NR19
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	ENSG00000111058	Q9H6R3
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	ENSG00000143632	P68133
HGNC:130	ACTA2	actin alpha 2, smooth muscle	ENSG00000107796	P62736
HGNC:132	ACTB	actin beta	ENSG00000075624	P60709
HGNC:17780	ACTBL2	actin beta like 2	ENSG00000169067	Q562R1
HGNC:143	ACTC1	actin alpha cardiac muscle 1	ENSG00000159251	P68032
HGNC:144	ACTG1	actin gamma 1	ENSG00000184009	P63261
HGNC:145	ACTG2	actin gamma 2, smooth muscle	ENSG00000163017	P63267
HGNC:24124	ACTL6A	actin like 6A	ENSG00000136518	O96019
HGNC:160	ACTL6B	actin like 6B	ENSG00000077080	O94805
HGNC:161	ACTL7A	actin like 7A	ENSG00000187003	Q9Y615
HGNC:162	ACTL7B	actin like 7B	ENSG00000148156	Q9Y614
HGNC:28494	ACTL9	actin like 9	ENSG00000181786	Q8TC94
HGNC:163	ACTN1	actinin alpha 1	ENSG00000072110	P12814
HGNC:164	ACTN2	actinin alpha 2	ENSG00000077522	P35609
HGNC:165	ACTN3	actinin alpha 3 (gene/pseudogene)	ENSG00000248746	Q08043
HGNC:166	ACTN4	actinin alpha 4	ENSG00000130402	O43707
HGNC:167	ACTR1A	actin related protein 1A	ENSG00000138107	P61163
HGNC:169	ACTR2	actin related protein 2	ENSG00000138071	P61160
HGNC:170	ACTR3	actin related protein 3	ENSG00000115091	P61158
HGNC:17256	ACTR3B	actin related protein 3B	ENSG00000133627	Q9P1U1
HGNC:37282	ACTR3C	actin related protein 3C	ENSG00000106526	Q9C0K3
HGNC:14671	ACTR5	actin related protein 5	ENSG00000101442	Q9H9F9
HGNC:24025	ACTR6	actin related protein 6	ENSG00000075089	Q9GZN1
HGNC:24027	ACTRT1	actin related protein T1	ENSG00000123165	Q8TDG2
HGNC:24026	ACTRT2	actin related protein T2	ENSG00000169717	Q8TDY3
HGNC:24022	ACTRT3	actin related protein T3	ENSG00000184378	Q9BYD9
HGNC:171	ACVR1	activin A receptor type 1	ENSG00000115170	Q04771
HGNC:172	ACVR1B	activin A receptor type 1B	ENSG00000135503	P36896
HGNC:18123	ACVR1C	activin A receptor type 1C	ENSG00000123612	Q8NER5
HGNC:173	ACVR2A	activin A receptor type 2A	ENSG00000121989	P27037
HGNC:174	ACVR2B	activin A receptor type 2B	ENSG00000114739	Q13705
HGNC:175	ACVRL1	activin A receptor like type 1	ENSG00000139567	P37023
HGNC:177	ACY1	aminoacylase 1	ENSG00000243989	Q03154
HGNC:24104	ACY3	aminoacylase 3	ENSG00000132744	Q96HD9
HGNC:179	ACYP1	acylphosphatase 1	ENSG00000119640	P07311
HGNC:180	ACYP2	acylphosphatase 2	ENSG00000170634	P14621
HGNC:186	ADA	adenosine deaminase	ENSG00000196839	P00813
HGNC:1839	ADA2	adenosine deaminase 2	ENSG00000093072	Q9NZK5
HGNC:31853	ADAL	adenosine deaminase like	ENSG00000168803	Q6DHV7
HGNC:198	ADAM2	ADAM metallopeptidase domain 2	ENSG00000104755	Q99965
HGNC:214	ADAM7	ADAM metallopeptidase domain 7	ENSG00000069206	Q9H2U9
HGNC:215	ADAM8	ADAM metallopeptidase domain 8	ENSG00000151651	P78325
HGNC:188	ADAM10	ADAM metallopeptidase domain 10	ENSG00000137845	O14672
HGNC:190	ADAM12	ADAM metallopeptidase domain 12	ENSG00000148848	O43184
HGNC:193	ADAM15	ADAM metallopeptidase domain 15	ENSG00000143537	Q13444
HGNC:195	ADAM17	ADAM metallopeptidase domain 17	ENSG00000151694	P78536
HGNC:199	ADAM20	ADAM metallopeptidase domain 20	ENSG00000134007	O43506
HGNC:200	ADAM21	ADAM metallopeptidase domain 21	ENSG00000139985	Q9UKJ8
HGNC:202	ADAM23	ADAM metallopeptidase domain 23	ENSG00000114948	O75077
HGNC:208	ADAM30	ADAM metallopeptidase domain 30	ENSG00000134249	Q9UKF2
HGNC:15479	ADAM32	ADAM metallopeptidase domain 32	ENSG00000197140	Q8TC27
HGNC:15478	ADAM33	ADAM metallopeptidase domain 33	ENSG00000149451	Q9BZ11
HGNC:217	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	ENSG00000154734	Q9UHI8
HGNC:218	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	ENSG00000087116	O95450
HGNC:219	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	ENSG00000156140	O15072
HGNC:220	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	ENSG00000158859	O75173
HGNC:221	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	ENSG00000154736	Q9UNA0
HGNC:222	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	ENSG00000049192	Q9UKP5
HGNC:223	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	ENSG00000136378	Q9UKP4
HGNC:224	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	ENSG00000134917	Q9UP79
HGNC:13202	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	ENSG00000163638	Q9P2N4
HGNC:13201	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	ENSG00000142303	Q9H324
HGNC:14605	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	ENSG00000151388	P58397
HGNC:1366	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	ENSG00000160323	Q76LX8
HGNC:16305	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	ENSG00000166106	Q8TE58
HGNC:17110	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	ENSG00000140873	Q8TE60
HGNC:17111	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	ENSG00000145808	Q8TE59
HGNC:17178	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	ENSG00000173157	P59510
HGNC:14632	ADAMTSL1	ADAMTS like 1	ENSG00000178031	Q8N6G6
HGNC:14631	ADAMTSL2	ADAMTS like 2	ENSG00000197859	Q86TH1
HGNC:14633	ADAMTSL3	ADAMTS like 3	ENSG00000156218	P82987
HGNC:19706	ADAMTSL4	ADAMTS like 4	ENSG00000143382	Q6UY14
HGNC:27912	ADAMTSL5	ADAMTS like 5	ENSG00000185761	Q6ZMM2
HGNC:16486	ADAP1	ArfGAP with dual PH domains 1	ENSG00000105963	O75689
HGNC:225	ADAR	adenosine deaminase RNA specific	ENSG00000160710	P55265
HGNC:226	ADARB1	adenosine deaminase RNA specific B1	ENSG00000197381	P78563
HGNC:227	ADARB2	adenosine deaminase RNA specific B2 (inactive)	ENSG00000185736	Q9NS39
HGNC:228	ADAT1	adenosine deaminase tRNA specific 1	ENSG00000065457	Q9BUB4
HGNC:21172	ADAT2	adenosine deaminase tRNA specific 2	ENSG00000189007	Q7Z6V5
HGNC:25151	ADAT3	adenosine deaminase tRNA specific 3	ENSG00000213638	Q96EY9
HGNC:19038	ADCK1	aarF domain containing kinase 1	ENSG00000063761	Q86TW2
HGNC:19039	ADCK2	aarF domain containing kinase 2	ENSG00000133597	Q7Z695
HGNC:21738	ADCK5	aarF domain containing kinase 5	ENSG00000173137	Q3MIX3
HGNC:232	ADCY1	adenylate cyclase 1	ENSG00000164742	Q08828
HGNC:233	ADCY2	adenylate cyclase 2	ENSG00000078295	Q08462
HGNC:234	ADCY3	adenylate cyclase 3	ENSG00000138031	O60266
HGNC:235	ADCY4	adenylate cyclase 4	ENSG00000129467	Q8NFM4
HGNC:236	ADCY5	adenylate cyclase 5	ENSG00000173175	O95622
HGNC:237	ADCY6	adenylate cyclase 6	ENSG00000174233	O43306
HGNC:238	ADCY7	adenylate cyclase 7	ENSG00000121281	P51828
HGNC:239	ADCY8	adenylate cyclase 8	ENSG00000155897	P40145
HGNC:240	ADCY9	adenylate cyclase 9	ENSG00000162104	O60503
HGNC:21285	ADCY10	adenylate cyclase 10	ENSG00000143199	Q96PN6
HGNC:242	ADCYAP1R1	ADCYAP receptor type I	ENSG00000078549	P41586
HGNC:243	ADD1	adducin 1	ENSG00000087274	P35611
HGNC:244	ADD2	adducin 2	ENSG00000075340	P35612
HGNC:245	ADD3	adducin 3	ENSG00000148700	Q9UEY8
HGNC:21212	ADGB	androglobin	ENSG00000118492	Q8N7X0
HGNC:13838	ADGRA1	adhesion G protein-coupled receptor A1	ENSG00000197177	Q86SQ6
HGNC:17849	ADGRA2	adhesion G protein-coupled receptor A2	ENSG00000020181	Q96PE1
HGNC:13839	ADGRA3	adhesion G protein-coupled receptor A3	ENSG00000152990	Q8IWK6
HGNC:19893	ADGRD1	adhesion G protein-coupled receptor D1	ENSG00000111452	Q6QNK2
HGNC:3336	ADGRE1	adhesion G protein-coupled receptor E1	ENSG00000174837	Q14246
HGNC:23647	ADGRE3	adhesion G protein-coupled receptor E3	ENSG00000131355	Q9BY15
HGNC:1711	ADGRE5	adhesion G protein-coupled receptor E5	ENSG00000123146	P48960
HGNC:18990	ADGRF1	adhesion G protein-coupled receptor F1	ENSG00000153292	Q5T601
HGNC:18991	ADGRF2	adhesion G protein-coupled receptor F2	ENSG00000164393	Q8IZF7
HGNC:18989	ADGRF3	adhesion G protein-coupled receptor F3	ENSG00000173567	Q8IZF5
HGNC:19011	ADGRF4	adhesion G protein-coupled receptor F4	ENSG00000153294	Q8IZF3
HGNC:4512	ADGRG1	adhesion G protein-coupled receptor G1	ENSG00000205336	Q9Y653
HGNC:4516	ADGRG2	adhesion G protein-coupled receptor G2	ENSG00000173698	Q8IZP9
HGNC:13728	ADGRG3	adhesion G protein-coupled receptor G3	ENSG00000182885	Q86Y34
HGNC:18992	ADGRG4	adhesion G protein-coupled receptor G4	ENSG00000156920	Q8IZF6
HGNC:19010	ADGRG5	adhesion G protein-coupled receptor G5	ENSG00000159618	Q8IZF4
HGNC:13841	ADGRG6	adhesion G protein-coupled receptor G6	ENSG00000112414	Q86SQ4
HGNC:20973	ADGRL1	adhesion G protein-coupled receptor L1	ENSG00000072071	O94910
HGNC:20974	ADGRL3	adhesion G protein-coupled receptor L3	ENSG00000150471	Q9HAR2
HGNC:20822	ADGRL4	adhesion G protein-coupled receptor L4	ENSG00000162618	Q9HBW9
HGNC:17416	ADGRV1	adhesion G protein-coupled receptor V1	ENSG00000164199	Q8WXG9
HGNC:249	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	ENSG00000187758	P07327
HGNC:250	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	ENSG00000196616	P00325
HGNC:251	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	ENSG00000248144	P00326
HGNC:252	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	ENSG00000198099	P08319
HGNC:253	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	ENSG00000197894	P11766
HGNC:256	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	ENSG00000196344	P40394
HGNC:16354	ADHFE1	alcohol dehydrogenase iron containing 1	ENSG00000147576	Q8IWW8
HGNC:30576	ADI1	acireductone dioxygenase 1	ENSG00000182551	Q9BV57
HGNC:28606	ADIG	adipogenin	ENSG00000182035	Q0VDE8
HGNC:13633	ADIPOQ	adiponectin, C1Q and collagen domain containing	ENSG00000181092	Q15848
HGNC:24041	ADIPOR2	adiponectin receptor 2	ENSG00000006831	Q86V24
HGNC:24043	ADIRF	adipogenesis regulatory factor	ENSG00000148671	Q15847
HGNC:257	ADK	adenosine kinase	ENSG00000156110	P55263
HGNC:259	ADM	adrenomedullin	ENSG00000148926	P35318
